url,retailer,in_cart,discarding_reason,key,date,available_price
https://www.dsw.com/en/us/product/blowfish-marley-slip-on-sneaker-kids/434520#!#Rose%20Gold%20Metallic7%20Toddler%20Medium,dsw.com,No,All Sizes are OOS,4812379,11/24/2021,19.98
https://www.dsw.com/en/us/product/steve-madden-around-slide-slipper/500614#!#Hot%20Pink6%20Medium,dsw.com,No,All Sizes are OOS,5251317,11/24/2021,29.99
https://www.rockport.com/rockport/briah-gladiator-sandal/VJ554.html#!#sku=BX2255-095-M,rockport.com,No,All Sizes are OOS,4594737,11/24/2021,110.0
http://www.kohls.com/product/prd-4321099/product.jsp#!#28910836,kohls.com,No,All Sizes are OOS,4508855,11/24/2021,14.45
https://www.rei.com/product/187386#!#1873860009,rei.com,No,All Sizes are OOS,5255523,11/24/2021,99.95
http://www.kohls.com/product/prd-4255601/product.jsp#!#34058714,kohls.com,No,All Sizes are OOS,5258084,11/24/2021,55.0
https://www.neimanmarcus.com/p/eileen-fisher-petite-jewel-neck-elbow-sleeve-box-top-prod230090219#!#PETITE%20MEDIUM-MUSTARD,neimanmarcus.com,No,All Sizes are OOS,5258892,11/24/2021,56.7
https://www.dsw.com/en/us/product/blowfish-billa-sandal-kids/516234#!#Cognac1%20Youth%20Medium,dsw.com,No,All Sizes are OOS,4611214,11/24/2021,29.99
https://www.dsw.com/en/us/product/klogs-carolina-clog/483596#!#Dark%20Blue%20Abstract%20Print7%20Medium,dsw.com,No,All Sizes are OOS,4985928,11/24/2021,139.99
https://www.bloomingdales.com/shop/product/la-blanca-solid-halter-goddess-tankini-top-island-goddess-solid-hipster-tankini-bottom?ID=2999588,bloomingdales.com,No,"price in [-1, -2, -3, ""-1"", ""-2"", ""-3"", ""NA"", ""#NA"", ""N/A"", ""null"",""na"",""none"",""nan""]",5297433,11/24/2021,NA
https://www.neimanmarcus.com/p/la-blanca-island-goddess-halter-tankini-swim-top-prod236820227#!#6-BLACK,neimanmarcus.com,No,All Sizes are OOS,5297433,11/24/2021,89.0
http://www.kohls.com/product/prd-3964948/product.jsp#!#86949749,kohls.com,No,All Sizes are OOS,4973118,11/24/2021,13.09
https://www.academy.com/shop/pdp/new-balance-kids-680-v6-hook-and-loop-uniform-shoes#repChildCatSku=127099466,academy.com,No,All Sizes are OOS,5059892,11/24/2021,49.99
https://www.bloomingdales.com/shop/product/beyond-yoga-high-waist-midi-leggings?ID=2846728#!#888634614578,bloomingdales.com,No,pers >= 100 or pers <= -100:,4513425,11/24/2021,124084.0
https://www.asics.com/us/en-us/gt-1000-9/p/ANA_1012A651-002.html#!#color=Black/Pure%20Silver&men_size=8.5&women_size=%20,asics.com,No,All Sizes are OOS,5091094,11/24/2021,69.95
http://www.kohls.com/product/prd-3966164/product.jsp#!#76036622,kohls.com,No,All Sizes are OOS,5091094,11/24/2021,59.99
https://www.finishline.com/store/product/mens-nike-challenger-og-casual-shoes/prod2820864#!#5162062,finishline.com,No,"price in [-1, -2, -3, ""-1"", ""-2"", ""-3"", ""NA"", ""#NA"", ""N/A"", ""null"",""na"",""none"",""nan""]",5162065,11/24/2021,NA
https://www.rockport.com/rockport/city-edge-lace-up/ML02027.html#!#sku=CH2009-115-M,rockport.com,No,All Sizes are OOS,4628943,11/24/2021,64.95
http://www.kohls.com/product/prd-3709888/product.jsp#!#58867366,kohls.com,No,All Sizes are OOS,4898050,11/24/2021,41.99
http://www.kohls.com/product/prd-3709888/product.jsp#!#55321077,kohls.com,No,All Sizes are OOS,4898051,11/24/2021,41.99
http://www.kohls.com/product/prd-3537089/product.jsp#!#53499942,kohls.com,No,All Sizes are OOS,5339610,11/24/2021,41.7
https://www.rei.com/product/151051#!#1510510029,rei.com,No,All Sizes are OOS,4780348,11/24/2021,79.95
